addr	bucket	code_units	name
00013df0	GAME_UNIQUE	22	HashSet_ContainsHandle
00013eb0	GAME_UNIQUE	22	Object_SetStringProperty
00013ef0	GAME_PORTABLE	49	BitArray128_ProcessAndClear
00013f80	GAME_UNIQUE	61	BitArray175_ProcessElementsAndClear
00014030	GAME_UNIQUE	38	SpatialNode_InitArray16
000140c0	XBOX_PLATFORM	6	SpatialNode_ZeroVector_204
000140e0	ENGINE	27	BitmaskQueue_PopAndSetFlag
00014140	XBOX_PLATFORM	6	SpatialNode_ZeroVector_934
00014160	GAME_PORTABLE	6	SpatialNode_ZeroVector_44
00014170	XBOX_PLATFORM	6	Matrix_AssignSafe
00014190	XBOX_PLATFORM	6	SpatialNode_ZeroVector_104
000141b0	XBOX_PLATFORM	6	SpatialNode_ZeroVector_2C0
000141d0	XBOX_PLATFORM	6	SpatialNode_ZeroVector_20D4
000141f0	XBOX_PLATFORM	6	SpatialNode_ZeroVector_BBC
00014210	GAME_UNIQUE	5	CFxParticleCloudPrimitive::vfunc42
00014220	GAME_UNIQUE	27	BitmaskQueue_PopAndSetFlag_588
00014290	GAME_UNIQUE	79	AudioNode_IntegrateAndComputeDirection
00014390	GAME_UNIQUE	118	Particle_Update
00014500	GAME_UNIQUE	24	StringHandle_Assign
000145a0	ENGINE	5	SpatialNode_Reset
000145b0	GAME_UNIQUE	27	BitQueue_PopAndSetFlag
00014620	ENGINE	34	BitQueue_PushAndClearFlag
000146a0	ENGINE	5	SpatialNode_ClearVector
000146b0	ENGINE	5	SpatialNode_InitVector
000146c0	GAME_UNIQUE	27	BitQueue_PopAndSetFlag_540
00014730	ENGINE	27	BitQueue_PopAndSetFlag_128
000147a0	ENGINE	27	Queue64_Init
00014800	ENGINE	5	SpatialNode_SetZeroVector
00014810	ENGINE	5	SpatialNode_ZeroVector
00014820	ENGINE	27	Queue175_Init
00014890	GAME_UNIQUE	27	BitQueue_PopAndSetFlag_2100
00014900	ENGINE	5	SpatialNode_ResetVector
00014910	GAME_UNIQUE	27	BitQueue_PopAndSetFlag_750
00014980	ENGINE	5	SpatialNode_ResetVector_BBC
00014990	ENGINE	27	Queue175_Init_33F8
00014a00	GAME_PORTABLE	35	BitQueue_PushAndClearDualFlags_128
00014a90	ENGINE	72	MinHeap_SiftDown_8Byte
00014b60	GAME_UNIQUE	28	Array80Byte_AppendEntry_Max94
00014bd0	GAME_UNIQUE	20	Array48Byte_AppendEntry_Max13
00014c20	ENGINE	31	DoublyLinkedList_InsertAfter
00014c80	ENGINE	31	DoublyLinkedList_InsertAfter_420
00014ce0	GAME_UNIQUE	34	BitQueue_PushAndClearFlag_540
00014d60	ENGINE	27	Queue128_Init_2210
00014dd0	ENGINE	46	MinHeap_SiftUp_8Byte
00014e50	GAME_UNIQUE	27	Queue588_Init_0934
00014ec0	GAME_UNIQUE	14	SpatialBufferManager_Reset_0934
00014ef0	GAME_UNIQUE	34	BitQueue_PushAndClearFlag_588
00014f70	GAME_PORTABLE	26	QueueManager175_ResetState
00014fd0	GAME_UNIQUE	34	BitQueue_PushAndClearFlag_2100
00015050	GAME_UNIQUE	34	BitQueue_PushAndClearFlag_750
000150d0	GAME_UNIQUE	27	Queue588_Init_44ECC
00015140	ENGINE	27	Queue16_Init_2B44
000151a0	GAME_UNIQUE	27	Queue540_Init_1954
00015210	GAME_UNIQUE	23	SpatialPoolManager175_Reset_33F8
00015260	GAME_UNIQUE	27	Queue2100_Init_29044
000152d0	GAME_UNIQUE	27	Queue750_Init_8CA4
00015340	GAME_UNIQUE	48	SpatialPool_AllocAndConstruct_588
000153f0	GAME_UNIQUE	48	SpatialPool_AllocAndConstruct_LeafNodeB_588
000154a0	GAME_UNIQUE	48	SpatialPool_AllocAndConstruct_BoundedLeafNode_588
