addr	bucket	code_units	status	name
00056220	GAME_UNIQUE	488	named	tmpl__AV_map_vs_V_handle_str_0A_E_0PP_ratl_::vfunc10
003b0ded	GAME_UNIQUE	488	UNNAMED	FUN_003b0ded
00092220	GAME_UNIQUE	487	named	tmpl__AV_COnlyOneEvent_VCActor_VEFirstEquipment_::vfunc62
000d99d0	GAME_UNIQUE	486	named	CCombatNodeHandler::vfunc51
003b2b58	GAME_UNIQUE	486	UNNAMED	FUN_003b2b58
0027fd60	GAME_UNIQUE	481	UNNAMED	FUN_0027fd60
0003f980	GAME_UNIQUE	476	UNNAMED	FUN_0003f980
0008e6b0	GAME_UNIQUE	475	named	CPathGrid::vfunc0
00021d10	GAME_UNIQUE	474	named	CFxLightningPrimitive::vfunc59
0013e300	GAME_UNIQUE	473	UNNAMED	FUN_0013e300
003af9ba	GAME_UNIQUE	471	UNNAMED	FUN_003af9ba
0001e200	GAME_UNIQUE	470	UNNAMED	FUN_0001e200
00083c80	GAME_UNIQUE	469	UNNAMED	FUN_00083c80
00236930	GAME_UNIQUE	469	UNNAMED	FUN_00236930
002d7b00	GAME_UNIQUE	469	UNNAMED	FUN_002d7b00
002baac0	GAME_UNIQUE	467	UNNAMED	FUN_002baac0
000403c0	GAME_UNIQUE	461	UNNAMED	FUN_000403c0
00169b60	GAME_UNIQUE	459	UNNAMED	FUN_00169b60
0003bad0	GAME_UNIQUE	456	UNNAMED	FUN_0003bad0
00033cd0	GAME_UNIQUE	455	UNNAMED	FUN_00033cd0
000287a0	GAME_UNIQUE	451	UNNAMED	FUN_000287a0
000d0460	GAME_UNIQUE	451	named	CCEAtkSpawnProjectile::vfunc96
001e22e0	GAME_UNIQUE	451	UNNAMED	FUN_001e22e0
00073930	GAME_UNIQUE	443	UNNAMED	FUN_00073930
0010eed0	GAME_UNIQUE	443	UNNAMED	FUN_0010eed0
0014dc10	GAME_UNIQUE	443	UNNAMED	FUN_0014dc10
00269a00	GAME_UNIQUE	442	UNNAMED	FUN_00269a00
000f3410	GAME_UNIQUE	439	named	CAIHeroIdleHandler::vfunc0
002bcab0	GAME_UNIQUE	437	UNNAMED	FUN_002bcab0
00036f60	GAME_UNIQUE	436	UNNAMED	FUN_00036f60
00087f90	GAME_UNIQUE	436	named	CMoverEntity::vfunc71
000a9000	GAME_UNIQUE	436	UNNAMED	FUN_000a9000
00113e80	GAME_UNIQUE	431	UNNAMED	FUN_00113e80
000fb010	GAME_UNIQUE	430	UNNAMED	FUN_000fb010
0007b790	GAME_UNIQUE	427	named	CGuidedProjectileEntity::vfunc71
00179560	GAME_UNIQUE	427	named	CMenuItemListBox::vfunc3
00073190	GAME_UNIQUE	425	named	CGame::vfunc67
0003edd0	GAME_UNIQUE	424	UNNAMED	FUN_0003edd0
00105be0	GAME_UNIQUE	424	UNNAMED	FUN_00105be0
00035370	GAME_UNIQUE	418	UNNAMED	FUN_00035370
000359f0	GAME_UNIQUE	415	UNNAMED	FUN_000359f0
001007b0	GAME_UNIQUE	415	UNNAMED	FUN_001007b0
0010c290	GAME_UNIQUE	413	UNNAMED	FUN_0010c290
003605d0	GAME_UNIQUE	410	named	D3D8__CDevice_InitializeFrameBuffers
000c8130	GAME_UNIQUE	409	UNNAMED	FUN_000c8130
003b678b	GAME_UNIQUE	409	UNNAMED	FUN_003b678b
0005dd30	GAME_UNIQUE	408	named	CCombatSystem::vfunc13
0007d6a0	GAME_UNIQUE	407	named	CInventoryEntity::vfunc51
00111520	GAME_UNIQUE	405	UNNAMED	FUN_00111520
00078e60	GAME_UNIQUE	404	UNNAMED	FUN_00078e60
0024efe0	XMEN_SERIES	403	UNNAMED	FUN_0024efe0
0001d930	GAME_UNIQUE	402	named	CFxCylinderPrimitive::vfunc59
0003e7b0	GAME_UNIQUE	401	UNNAMED	FUN_0003e7b0
000d56b0	GAME_UNIQUE	395	UNNAMED	FUN_000d56b0
00104d90	GAME_UNIQUE	394	UNNAMED	FUN_00104d90
001190b0	GAME_UNIQUE	393	UNNAMED	FUN_001190b0
00097650	GAME_UNIQUE	392	named	CProjectileEntity::vfunc5
00106500	GAME_UNIQUE	391	UNNAMED	FUN_00106500
0012d4a0	GAME_UNIQUE	391	named	CAnimMotion::vfunc5
00159280	GAME_UNIQUE	390	UNNAMED	FUN_00159280
0001f260	GAME_UNIQUE	389	named	CFxSpritePrimitive::vfunc0
000d2190	GAME_UNIQUE	387	named	CCEAtkSpawn::vfunc4
0015cac0	GAME_UNIQUE	387	UNNAMED	FUN_0015cac0
000fba70	GAME_UNIQUE	385	UNNAMED	FUN_000fba70
0011a900	GAME_UNIQUE	382	UNNAMED	FUN_0011a900
00369c70	GAME_UNIQUE	382	UNNAMED	FUN_00369c70
003a5913	GAME_UNIQUE	380	UNNAMED	FUN_003a5913
001189f0	GAME_UNIQUE	379	UNNAMED	FUN_001189f0
0001fdc0	GAME_UNIQUE	378	named	CFxTessMeshPrimitive::vfunc59
00070fb0	GAME_UNIQUE	377	named	CGame::vfunc108
00173890	GAME_UNIQUE	376	named	CMenuItem::vfunc12
001d4b10	GAME_UNIQUE	376	UNNAMED	FUN_001d4b10
002c91fa	GAME_UNIQUE	376	UNNAMED	FUN_002c91fa
0015a320	GAME_UNIQUE	375	named	CHudCharacter::vfunc3
000984f0	GAME_UNIQUE	374	UNNAMED	FUN_000984f0
00064060	GAME_UNIQUE	369	UNNAMED	FUN_00064060
00093320	GAME_UNIQUE	369	named	tmpl__AV_COnlyOneEvent_VCActor_VEFirstEquipment_::vfunc25
000c4220	GAME_UNIQUE	367	UNNAMED	FUN_000c4220
000c6770	GAME_UNIQUE	367	UNNAMED	FUN_000c6770
0026a130	GAME_UNIQUE	367	UNNAMED	FUN_0026a130
00284500	GAME_UNIQUE	367	UNNAMED	FUN_00284500
001988b0	GAME_UNIQUE	365	UNNAMED	FUN_001988b0
000f1110	GAME_UNIQUE	361	named	CAIShadesNoWingAttackHandler::vfunc0
0001c530	GAME_UNIQUE	360	named	tmpl__AV_tree_base_U_value_semantics_node_USFxFileRecord_CFxTemplateManager_0KP_Vtree_node_ratl_stora::vfunc15
00159850	GAME_UNIQUE	359	named	CHudCharacter::vfunc38
001865a0	GAME_UNIQUE	358	UNNAMED	FUN_001865a0
000df740	GAME_UNIQUE	357	UNNAMED	FUN_000df740
00189610	GAME_UNIQUE	356	named	CHudComponent::vfunc12
001c9b80	GAME_UNIQUE	354	UNNAMED	FUN_001c9b80
000d4f20	GAME_UNIQUE	353	named	CCEAtkTeleport::vfunc34
0003db50	GAME_UNIQUE	352	UNNAMED	FUN_0003db50
0007c6b0	GAME_UNIQUE	352	UNNAMED	FUN_0007c6b0
000cf6b0	GAME_UNIQUE	350	named	CCEAtk::vfunc4
0010a5a0	GAME_UNIQUE	350	UNNAMED	FUN_0010a5a0
00194330	GAME_UNIQUE	350	UNNAMED	FUN_00194330
0006af70	GAME_UNIQUE	349	named	CEntityGrid::vfunc10
000a8a90	GAME_UNIQUE	349	UNNAMED	FUN_000a8a90
00161f00	GAME_UNIQUE	349	UNNAMED	FUN_00161f00
001e4c30	GAME_UNIQUE	349	UNNAMED	FUN_001e4c30
000673f0	GAME_UNIQUE	348	UNNAMED	FUN_000673f0
000c1970	GAME_UNIQUE	347	UNNAMED	FUN_000c1970
00162b00	GAME_UNIQUE	347	UNNAMED	FUN_00162b00
000906b0	GAME_UNIQUE	346	UNNAMED	FUN_000906b0
000f3ed0	GAME_UNIQUE	346	named	CPatternNodeMoveTo::vfunc15
00191130	GAME_UNIQUE	345	UNNAMED	FUN_00191130
0018af60	GAME_UNIQUE	344	named	CProcText::vfunc0
00050be0	GAME_UNIQUE	343	UNNAMED	FUN_00050be0
000f9ec0	GAME_UNIQUE	343	UNNAMED	FUN_000f9ec0
003a52ee	GAME_UNIQUE	342	UNNAMED	FUN_003a52ee
000b8b20	GAME_UNIQUE	341	named	CWaterGeometryGenerator::vfunc0
00092c20	GAME_UNIQUE	340	named	CScanEntity::vfunc128
00253810	GAME_UNIQUE	340	UNNAMED	FUN_00253810
0001f8f0	GAME_UNIQUE	338	named	CFxScreenFlashPrimitive::vfunc59
0005aa10	GAME_UNIQUE	338	named	CCombatSystem::vfunc8
00170230	GAME_UNIQUE	338	UNNAMED	FUN_00170230
000689a0	GAME_UNIQUE	337	named	IEntityDefinitions::vfunc26
